AvgPop_mean,AvgPop_seed_std,Coverage_mean,Coverage_seed_std,Diversity_ci_hi,Diversity_ci_lo,Diversity_mean,Diversity_seed_std,HR@10_ci_hi,HR@10_ci_lo,HR@10_mean,HR@10_seed_std,NDCG@10_ci_hi,NDCG@10_ci_lo,NDCG@10_mean,NDCG@10_seed_std,Recall@10_ci_hi,Recall@10_ci_lo,Recall@10_mean,Recall@10_seed_std,base,dataset,n_seeds,reranker
77.68458068795603,0.23673957737555829,0.10716398291160041,0.0012096721866122866,0.8319460391998291,0.8294392853975296,0.8307824611663819,0.0019262375523175597,0.10186676681041718,0.09663555324077606,0.09921349585056305,0.0006931091399754227,0.03605954553931952,0.033787671104073526,0.034909820556640624,0.0002084105695579373,0.05602970067411661,0.0526981059461832,0.05433036759495735,0.0004466777826208416,als,amazon-beauty,5,none
77.68458068795603,0.23673957737555829,0.10716398291160041,0.0012096721866122866,0.8319460391998291,0.8294392853975296,0.8307824611663819,0.0019262375523175597,0.10186676681041718,0.09663555324077606,0.09921349585056305,0.0006931091399754227,0.03605954553931952,0.033787671104073526,0.034909820556640624,0.0002084105695579373,0.05602970067411661,0.0526981059461832,0.05433036759495735,0.0004466777826208416,als,amazon-beauty,5,mmr_lam=1.0
79.68209419122525,0.29347026939977106,0.11140322050607951,0.0013845136005876384,0.8945729553699493,0.8927451327443123,0.8936946153640747,0.0008233319699689712,0.09591632783412933,0.09079835116863251,0.09337629228830338,0.000841176407406145,0.03402938134968281,0.031831370946019885,0.03290451690554619,0.0003317661908894683,0.051362183224409816,0.048260150197893384,0.04978983923792839,0.0004966468068117173,als,amazon-beauty,5,mmr_lam=0.8
80.2646470198048,0.37186275343738445,0.12487676634899772,0.0011204552823682135,0.9461487382650375,0.9452490985393525,0.9457164168357849,0.0006325077447231997,0.08316118270158768,0.07859376817941666,0.08084904849529266,0.0005250415792786487,0.030076053785160185,0.0279785365331918,0.029020403698086738,0.00029217304540140736,0.04313973020762205,0.04029798675328493,0.041764894127845766,0.00021168074705809418,als,amazon-beauty,5,mmr_lam=0.6
79.08909693925898,0.43312158599920797,0.14051922444955636,0.0010985550213898632,0.9733191817998886,0.9728284284472466,0.973085594177246,0.0005316867410406191,0.07057755887508392,0.06644508540630341,0.06851132214069366,0.0006599260871904204,0.02569173900410533,0.023818751471117137,0.024714184552431108,0.00032640965891772545,0.03490223214030266,0.03248076597228646,0.033670230954885486,0.0004647212020913552,als,amazon-beauty,5,mmr_lam=0.4
76.30232540509807,0.5039374526027602,0.16105816628327307,0.0021150922122945837,0.9849482491612435,0.9845353320240975,0.9847530603408814,0.0004956223081323371,0.062181368470191956,0.05821993872523308,0.06017246395349503,0.0010380413229986913,0.022720554238185288,0.02095904485322535,0.021814324706792832,0.0003555598167122232,0.030117597989737985,0.02796752224676311,0.0290654007345438,0.0006849602612046854,als,amazon-beauty,5,mmr_lam=0.2
76.04002084715248,0.45033748924029426,0.15257969109431482,0.0024165529284583586,0.9837502211332321,0.983292244374752,0.98354012966156,0.0005029805385127698,0.06462664604187011,0.060570452362298965,0.06267412155866622,0.001385568308232145,0.02431192435324192,0.02242471417412162,0.023335644230246543,0.0004207790642089501,0.03129346948117018,0.028964851656928657,0.030128835886716842,0.0007896706835310031,als,amazon-beauty,5,dpp_alpha=0.5
77.34775703591396,0.48766684945625594,0.14429838974696024,0.0024902821152918927,0.9789171233773232,0.9784099891781807,0.9786782026290893,0.00047042885289532474,0.07044441998004913,0.06616080850362778,0.06824599504470825,0.0011200104208568744,0.02584255379624665,0.02396702147088945,0.024870341271162034,0.0004645936895826212,0.034266408532857895,0.03189521264284849,0.033070655167102815,0.0007565102852213506,als,amazon-beauty,5,dpp_alpha=1.0
78.49845352032597,0.4204064845460094,0.13654288531054878,0.002332413665228122,0.9712038993835449,0.9705765247344971,0.9709112644195557,0.00043079121864730987,0.07632095199078322,0.07179000973701477,0.07404529601335526,0.0007715813923255288,0.027789138816297052,0.025821388559415938,0.026781556382775306,0.00033877276565593334,0.03814170565456152,0.03557576155290008,0.036867284774780275,0.000433065484332508,als,amazon-beauty,5,dpp_alpha=2.0
79.30925992608736,0.4370530439490971,0.12888596779493922,0.0017643417279718818,0.9600122675299645,0.9592265367507935,0.9596336722373963,0.0005012138712209509,0.08122808486223221,0.07665971536189317,0.07893490046262741,0.0008151533793455766,0.029657470108941198,0.027571500511839986,0.028564805909991265,0.00027585152780090755,0.04169055102393031,0.03897871654480696,0.040353914350271226,0.00047617568530782255,als,amazon-beauty,5,dpp_alpha=4.0
