base,dataset,reranker,seed,metric,value
als,amazon-beauty,mmr_lam=0.8,1,Coverage,0.11058166283273085
als,amazon-beauty,mmr_lam=0.8,1,AvgPop,79.99363214251872
als,amazon-beauty,mmr_lam=0.6,1,NDCG@10,0.029001815244555473
als,amazon-beauty,mmr_lam=0.6,1,Recall@10,0.041606660932302475
als,amazon-beauty,mmr_lam=0.6,1,HR@10,0.08073533326387405
als,amazon-beauty,mmr_lam=0.6,1,Diversity,0.9456389546394348
als,amazon-beauty,mmr_lam=0.6,1,Coverage,0.12372658560630956
als,amazon-beauty,mmr_lam=0.6,1,AvgPop,80.73913579077039
als,amazon-beauty,mmr_lam=0.4,1,NDCG@10,0.024640073999762535
als,amazon-beauty,mmr_lam=0.4,1,Recall@10,0.03342293202877045
als,amazon-beauty,mmr_lam=0.4,1,HR@10,0.06765848398208618
als,amazon-beauty,mmr_lam=0.4,1,Diversity,0.9732611775398254
als,amazon-beauty,mmr_lam=0.4,1,Coverage,0.13884324679592508
als,amazon-beauty,mmr_lam=0.4,1,AvgPop,79.61590069174642
als,amazon-beauty,mmr_lam=0.2,1,NDCG@10,0.021756324917078018
als,amazon-beauty,mmr_lam=0.2,1,Recall@10,0.02894645370543003
als,amazon-beauty,mmr_lam=0.2,1,HR@10,0.05922486633062363
als,amazon-beauty,mmr_lam=0.2,1,Diversity,0.9848608374595642
als,amazon-beauty,mmr_lam=0.2,1,Coverage,0.15823200788695366
als,amazon-beauty,mmr_lam=0.2,1,AvgPop,76.92182317824316
als,amazon-beauty,dpp_alpha=0.5,1,NDCG@10,0.023211956024169922
als,amazon-beauty,dpp_alpha=0.5,1,Recall@10,0.02986849844455719
als,amazon-beauty,dpp_alpha=0.5,1,HR@10,0.061593860387802124
als,amazon-beauty,dpp_alpha=0.5,1,Diversity,0.9837294220924377
als,amazon-beauty,dpp_alpha=0.5,1,Coverage,0.15001643115346697
als,amazon-beauty,dpp_alpha=0.5,1,AvgPop,76.60873685207997
als,amazon-beauty,dpp_alpha=1.0,1,NDCG@10,0.024571293964982033
als,amazon-beauty,dpp_alpha=1.0,1,Recall@10,0.03219693899154663
als,amazon-beauty,dpp_alpha=1.0,1,HR@10,0.06699516624212265
als,amazon-beauty,dpp_alpha=1.0,1,Diversity,0.9788870811462402
als,amazon-beauty,dpp_alpha=1.0,1,Coverage,0.14147223135064083
als,amazon-beauty,dpp_alpha=1.0,1,AvgPop,77.99035345399413
als,amazon-beauty,dpp_alpha=2.0,1,NDCG@10,0.026616830378770828
als,amazon-beauty,dpp_alpha=2.0,1,Recall@10,0.036695580929517746
als,amazon-beauty,dpp_alpha=2.0,1,HR@10,0.07343883067369461
als,amazon-beauty,dpp_alpha=2.0,1,Diversity,0.9711867570877075
als,amazon-beauty,dpp_alpha=2.0,1,Coverage,0.1350640814985212
als,amazon-beauty,dpp_alpha=2.0,1,AvgPop,79.02881645029849
als,amazon-beauty,dpp_alpha=4.0,1,NDCG@10,0.028304124251008034
als,amazon-beauty,dpp_alpha=4.0,1,Recall@10,0.039918478578329086
als,amazon-beauty,dpp_alpha=4.0,1,HR@10,0.07798730581998825
als,amazon-beauty,dpp_alpha=4.0,1,Diversity,0.9602673053741455
als,amazon-beauty,dpp_alpha=4.0,1,Coverage,0.12914886625041078
als,amazon-beauty,dpp_alpha=4.0,1,AvgPop,79.84830853785654
als,amazon-beauty,none,2,NDCG@10,0.034858234226703644
als,amazon-beauty,none,2,Recall@10,0.0537334606051445
als,amazon-beauty,none,2,HR@10,0.09845541417598724
als,amazon-beauty,none,2,Diversity,0.8338284492492676
als,amazon-beauty,none,2,Coverage,0.10713112060466645
als,amazon-beauty,none,2,AvgPop,77.98865725386146
als,amazon-beauty,mmr_lam=1.0,2,NDCG@10,0.034858234226703644
als,amazon-beauty,mmr_lam=1.0,2,Recall@10,0.0537334606051445
als,amazon-beauty,mmr_lam=1.0,2,HR@10,0.09845541417598724
als,amazon-beauty,mmr_lam=1.0,2,Diversity,0.8338284492492676
als,amazon-beauty,mmr_lam=1.0,2,Coverage,0.10713112060466645
als,amazon-beauty,mmr_lam=1.0,2,AvgPop,77.98865725386146
als,amazon-beauty,mmr_lam=0.8,2,NDCG@10,0.03296671062707901
als,amazon-beauty,mmr_lam=0.8,2,Recall@10,0.04948527365922928
als,amazon-beauty,mmr_lam=0.8,2,HR@10,0.09258031100034714
als,amazon-beauty,mmr_lam=0.8,2,Diversity,0.8944957852363586
als,amazon-beauty,mmr_lam=0.8,2,Coverage,0.11058166283273085
als,amazon-beauty,mmr_lam=0.8,2,AvgPop,79.96150857576045
als,amazon-beauty,mmr_lam=0.6,2,NDCG@10,0.029235446825623512
als,amazon-beauty,mmr_lam=0.6,2,Recall@10,0.04169001430273056
als,amazon-beauty,mmr_lam=0.6,2,HR@10,0.08120913803577423
als,amazon-beauty,mmr_lam=0.6,2,Diversity,0.9454970359802246
als,amazon-beauty,mmr_lam=0.6,2,Coverage,0.1238908971409793
als,amazon-beauty,mmr_lam=0.6,2,AvgPop,80.52453330806405
als,amazon-beauty,mmr_lam=0.4,2,NDCG@10,0.02498246543109417
als,amazon-beauty,mmr_lam=0.4,2,Recall@10,0.033581603318452835
als,amazon-beauty,mmr_lam=0.4,2,HR@10,0.06889036297798157
als,amazon-beauty,mmr_lam=0.4,2,Diversity,0.9729316234588623
als,amazon-beauty,mmr_lam=0.4,2,Coverage,0.14097929674663162
als,amazon-beauty,mmr_lam=0.4,2,AvgPop,79.3827916232351
als,amazon-beauty,mmr_lam=0.2,2,NDCG@10,0.021841859444975853
als,amazon-beauty,mmr_lam=0.2,2,Recall@10,0.028681691735982895
als,amazon-beauty,mmr_lam=0.2,2,HR@10,0.06007770448923111
als,amazon-beauty,mmr_lam=0.2,2,Diversity,0.9847632646560669
als,amazon-beauty,mmr_lam=0.2,2,Coverage,0.15971081169898127
als,amazon-beauty,mmr_lam=0.2,2,AvgPop,76.57702075239268
als,amazon-beauty,dpp_alpha=0.5,2,NDCG@10,0.023456517606973648
als,amazon-beauty,dpp_alpha=0.5,2,Recall@10,0.02969312109053135
als,amazon-beauty,dpp_alpha=0.5,2,HR@10,0.06235193833708763
als,amazon-beauty,dpp_alpha=0.5,2,Diversity,0.9835975170135498
als,amazon-beauty,dpp_alpha=0.5,2,Coverage,0.15034505422280645
als,amazon-beauty,dpp_alpha=0.5,2,AvgPop,76.29406803752488
als,amazon-beauty,dpp_alpha=1.0,2,NDCG@10,0.025208057835698128
als,amazon-beauty,dpp_alpha=1.0,2,Recall@10,0.033364858478307724
als,amazon-beauty,dpp_alpha=1.0,2,HR@10,0.06889036297798157
als,amazon-beauty,dpp_alpha=1.0,2,Diversity,0.9787889122962952
als,amazon-beauty,dpp_alpha=1.0,2,Coverage,0.14344396976667761
als,amazon-beauty,dpp_alpha=1.0,2,AvgPop,77.63182033544963
als,amazon-beauty,dpp_alpha=2.0,2,NDCG@10,0.027158446609973907
als,amazon-beauty,dpp_alpha=2.0,2,Recall@10,0.03696734458208084
als,amazon-beauty,dpp_alpha=2.0,2,HR@10,0.07438643276691437
als,amazon-beauty,dpp_alpha=2.0,2,Diversity,0.9711216688156128
als,amazon-beauty,dpp_alpha=2.0,2,Coverage,0.13489976996385147
als,amazon-beauty,dpp_alpha=2.0,2,AvgPop,78.76724154268928
als,amazon-beauty,dpp_alpha=4.0,2,NDCG@10,0.028636228293180466
als,amazon-beauty,dpp_alpha=4.0,2,Recall@10,0.03998745605349541
als,amazon-beauty,dpp_alpha=4.0,2,HR@10,0.07836633920669556
als,amazon-beauty,dpp_alpha=4.0,2,Diversity,0.9596392512321472
als,amazon-beauty,dpp_alpha=4.0,2,Coverage,0.12619125862635558
als,amazon-beauty,dpp_alpha=4.0,2,AvgPop,79.6043494740832
als,amazon-beauty,none,3,NDCG@10,0.034826770424842834
als,amazon-beauty,none,3,Recall@10,0.05460298806428909
als,amazon-beauty,none,3,HR@10,0.10025585442781448
als,amazon-beauty,none,3,Diversity,0.8312110900878906
als,amazon-beauty,none,3,Coverage,0.10811698981268485
als,amazon-beauty,none,3,AvgPop,77.58139865441107
als,amazon-beauty,mmr_lam=1.0,3,NDCG@10,0.034826770424842834
als,amazon-beauty,mmr_lam=1.0,3,Recall@10,0.05460298806428909
als,amazon-beauty,mmr_lam=1.0,3,HR@10,0.10025585442781448
als,amazon-beauty,mmr_lam=1.0,3,Diversity,0.8312110900878906
als,amazon-beauty,mmr_lam=1.0,3,Coverage,0.10811698981268485
als,amazon-beauty,mmr_lam=1.0,3,AvgPop,77.58139865441107
als,amazon-beauty,mmr_lam=0.8,3,NDCG@10,0.03284553810954094
als,amazon-beauty,mmr_lam=0.8,3,Recall@10,0.04979003220796585
als,amazon-beauty,mmr_lam=0.8,3,HR@10,0.09324362874031067
als,amazon-beauty,mmr_lam=0.8,3,Diversity,0.893099844455719
als,amazon-beauty,mmr_lam=0.8,3,Coverage,0.11206046664475847
als,amazon-beauty,mmr_lam=0.8,3,AvgPop,79.46172652326352
als,amazon-beauty,mmr_lam=0.6,3,NDCG@10,0.029248980805277824
als,amazon-beauty,mmr_lam=0.6,3,Recall@10,0.04193449392914772
als,amazon-beauty,mmr_lam=0.6,3,HR@10,0.08111437410116196
als,amazon-beauty,mmr_lam=0.6,3,Diversity,0.9452655911445618
als,amazon-beauty,mmr_lam=0.6,3,Coverage,0.12619125862635558
als,amazon-beauty,mmr_lam=0.6,3,AvgPop,79.97855586089264
als,amazon-beauty,mmr_lam=0.4,3,NDCG@10,0.025034107267856598
